Product,old_price,new_price,discount,sale_date
Напиток пивной ДОКТОР ДИЗЕЛЬ Манго-красный апельсин 6%,78.90,59.99,−24%,с 13 апреля до 19 апреля
"Пивной напиток ДОКТОР ДИЗЕЛЬ, клубника-лайм, 4,4%, 0,45л",78.90,59.99,−24%,с 13 апреля до 19 апреля
"Скрепыши/Праздник Сластены Колечки глаз, 250г",69.80,59.99,−29%,с 13 апреля до 19 апреля
"Праздник сластены СКРЕПЫШИ Колечки глазированные, 250г",70.40,59.99,−15%,с 13 апреля до 19 апреля
"Вафли КОЛОМЕНСКОЕ, Каприччио, шоколадные, 220г",85.70,59.99,−30%,с 13 апреля до 19 апреля
"Вафли КОЛОМЕНСКИЙ, с халвой, 220г",85.70,59.99,−30%,с 13 апреля до 19 апреля
"Печенье овсяное ХЛЕБНЫЙ СПАС, Особое, 250г",88.20,59.99,−32%,с 13 апреля до 19 апреля
"Килька ЗНАК КАЧЕСТВА обжаренная в томатном соусе, 240г",80.00,59.99,−25%,с 13 апреля до 19 апреля
"Йогурт ДАНИССИМО арахис-шоколадный микс 2,9%, 136г",74.10,59.99,−19%,с 13 апреля до 19 апреля
"Хлебцы ДР.КОРНЕР, Кукурузно-рисовые карамельные, 90г",85.10,62.99,−26%,с 13 апреля до 19 апреля
"Хлебцы ДР.КОРНЕР, Кукурузно-рисовые карамельные, 90г",86.30,62.99,−27%,с 13 апреля до 19 апреля
"Крабовые палочки МИРАМАР, охлажденные, 1 упаковка, 200г",104.60,64.99,−38%,с 13 апреля до 19 апреля
"Горошек зеленый ШЕСТЬ СОТОК, 400г",100.00,68.99,−31%,с 13 апреля до 19 апреля
"Кукуруза сладкая ШЕСТЬ СОТОК, 340г",100.00,68.99,−31%,с 13 апреля до 19 апреля
"Салатник Парма квадратный белый опал, 14см",129.99,69.99,"−46,00%",с 07 апреля до 04 мая
"Шоколад молочный АЛЕНКА, с фундуком, 100г",100.00,69.99,−30%,с 13 апреля до 19 апреля
"Кружка, Бэйсик, , стекло (Пашабахче), 350мл",84.99,69.99,"−18,00%",с 07 апреля до 04 мая
"Крупа перловая УВЕЛКА, 800г",77.80,69.99,−10%,с 13 апреля до 19 апреля
"Шоколад АЛЕНКА, с разноцветным драже, 100г",100.00,69.99,−30%,с 13 апреля до 19 апреля
"Шарики кукурузные CHICO&RICO® сметана-лук, 140г",80.00,71.99,−10%,с 13 апреля до 19 апреля
"Молоко ПРОСТОКВАШИНО, пастеризованное, 2,5%, 930мл",83.30,72.99,−12%,с 13 апреля до 19 апреля
"Паштет МИХАЙЛОВ КУРЕНЬ, Печеночный, 250г",90.30,74.99,−17%,с 13 апреля до 19 апреля
"Сироп МАГНИТ вкус соленая карамель, 250мл",90.30,74.99,−17%,с 13 апреля до 19 апреля
"Шарики кукурузные СЫР BALL® сыр, 140г",94.90,74.99,−21%,с 13 апреля до 19 апреля
"Шарики кукурузные СЫР BALL® сыр, 140г",94.90,74.99,−21%,с 13 апреля до 19 апреля
"Паштет МИХАЙЛОВ КУРЕНЬ, Печеночный, 250г",90.30,74.99,−17%,с 13 апреля до 19 апреля
"Акварельки МАЛВИКЪ Карамель леденцовая ассорти, 180г",105.50,76.99,−27%,с 13 апреля до 19 апреля
"Напиток ДЖИН ГРЕЙПФРУТ газированный 9%, 0,45л",106.70,79.99,−25%,с 13 апреля до 19 апреля
"Напиток ДЖИН ГРЕЙПФРУТ газированный 9%, 0,45л",106.70,79.99,−25%,с 13 апреля до 19 апреля
"Тарелка суповая Парма квадратная белый опал, 23см",159.99,79.99,"−50,00%",с 07 апреля до 04 мая
"Тарелка десертная Парма квадратная белый опал, 20см",139.99,79.99,"−43,00%",с 07 апреля до 04 мая
"Сметана ПРОСТОКВАШИНО 15%, 300г",96.40,82.99,−14%,с 13 апреля до 19 апреля
"Шоколад БАБАЕВСКИЙ Фирменный, 100г",130.80,84.99,−35%,с 13 апреля до 19 апреля
"Шоколад Люкс, 100г",123.20,84.99,−31%,с 13 апреля до 19 апреля
"Шоколад БАБАЕВСКИЙ горький, 100г",130.80,84.99,−35%,с 13 апреля до 19 апреля
"Крупа УВЕЛКА Гречневая Экстра вар/пак, 5*80г",108.40,89.99,−17%,с 13 апреля до 19 апреля
"Крупа гречневая УВЕЛКА, Экстра, в пакетиках, 80гx5шт.",120.00,89.99,−25%,с 13 апреля до 19 апреля
"Шоколад ЛЮКС, 1 штука (КК Бабаевский), 100г",155.70,94.99,−39%,с 13 апреля до 19 апреля
"Конфеты LUCKY DAYS® Трюфель классический, 200г",140.70,99.90,−29%,с 13 апреля до 19 апреля
"Конфеты LUCKY DAYS® Трюфель классический, 200г",140.70,99.90,−29%,с 13 апреля до 19 апреля
"Фасоль с грибами СЕМЕЙНЫЕ СЕКРЕТЫ, 530г",120.50,99.99,−17%,с 13 апреля до 19 апреля
"Сок РИЧ, Томатный, 1л",166.70,99.99,−40%,с 13 апреля до 19 апреля
"Печенье ОРЕО с какао и начинкой со вкусом клубники, 228г",133.30,99.99,−25%,с 13 апреля до 19 апреля
"Печенье ОРЕО, Какао-ваниль, двойная начинка, 170г",133.30,99.99,−25%,с 13 апреля до 19 апреля
"Крабовые палочки ВИЧИ, замороженные, 200г",169.50,99.99,−41%,с 13 апреля до 19 апреля
"Печенье ОРЕО с какао и начинкой со вкусом клубники, 228г",142.80,99.99,−30%,с 13 апреля до 19 апреля
"Печенье ОРЕО, Какао-ваниль, двойная начинка, 170г",144.90,99.99,−31%,с 13 апреля до 19 апреля
"Печенье ОРЕО, с какао и шоколадной начинкой, 228г",142.80,99.99,−30%,с 13 апреля до 19 апреля
"Корнишоны СКАТЕРТЬ-САМОБРАНКА, маринованные, 350г",120.50,99.99,−17%,с 13 апреля до 19 апреля
"Печенье ОРЕО, 228г",142.80,99.99,−30%,с 13 апреля до 19 апреля
"Соус КИНТО ГЕО, Грузинская кухня, шашлычный, 305г",129.90,99.99,−23%,с 13 апреля до 19 апреля
"Печенье ОРЕО, с какао и шоколадной начинкой, 228г",133.30,99.99,−25%,с 13 апреля до 19 апреля
"Нектар РИЧ, Персиковый, 1л",166.70,99.99,−40%,с 13 апреля до 19 апреля
"Тарелка обеденная Парма квадратная белый опал, 27см",159.99,99.99,"−38,00%",с 07 апреля до 04 мая
"Лосось МАРЕ рубленый подкопченный (ТД Балтийский берег), 150г",153.40,99.99,−35%,с 13 апреля до 19 апреля
"Корнишоны СКАТЕРТЬ-САМОБРАНКА, маринованные, 350г",120.50,99.99,−17%,с 13 апреля до 19 апреля
"Печенье ОРЕО, 228г",133.30,99.99,−25%,с 13 апреля до 19 апреля
"Круассаны СЕВЕН ДЭЙЗ, какао 3+1, 260г",129.90,99.99,−23%,с 13 апреля до 19 апреля
"Фасоль с грибами СЕМЕЙНЫЕ СЕКРЕТЫ, 530г",120.50,99.99,−17%,с 13 апреля до 19 апреля
"Клей Момент СУПЕР (Хенкель), 3 г",126.99,99.99,"−21,00%",с 07 апреля до 04 мая
"Сок РИЧ, яблочный, 1л",166.70,99.99,−40%,с 13 апреля до 19 апреля
"Клей Момент Кристалл, 30г",139.99,99.99,"−29,00%",с 07 апреля до 04 мая
"Круассаны СЕВЕН ДЭЙЗ, какао 3+1, 260г",140.00,104.99,−25%,с 13 апреля до 19 апреля
"Семечки подсолнечника СТЕПАНОВНА, Обжаренные, 250г",126.50,104.99,−17%,с 13 апреля до 19 апреля
"Пиво КЛИНСКОЕ, светлое, 4,7%, 1,3л",136.70,107.99,−21%,с 13 апреля до 19 апреля
"Пиво КЛИНСКОЕ, светлое, 4,7%, 1,3л",136.70,107.99,−21%,с 13 апреля до 19 апреля
"Семечки тыквенные ОТ МАРТИНА, 100г",139.20,109.99,−21%,с 13 апреля до 19 апреля
"Подушечки НЕСКВИК, банановые, 220г",150.70,109.99,−27%,с 13 апреля до 19 апреля
"Чистящее средство BREF®, Лимонная свежесть, 50г",193.00,109.99,−43%,с 13 апреля до 19 апреля
"Клей Момент®, Супер, гель, 3г",136.99,109.99,"−20,00%",с 07 апреля до 04 мая
"Завтрак готовый ФИТНЕС хлопья цельнозлаковые, 230г",161.40,112.99,−30%,с 13 апреля до 19 апреля
"Фасоль ПИКАНТА, По-монастырски, 530г",150.00,113.99,−24%,с 13 апреля до 19 апреля
"Фасоль ПИКАНТА, По-монастырски, 530г",150.00,113.99,−24%,с 13 апреля до 19 апреля
"Пиво ДУБ И ОБРУЧ Бочковое светлое, 1,5л",147.40,114.99,−22%,с 13 апреля до 19 апреля
"Лазанья ЗОЛОТОЙ ПЕТУШОК, мясная, 370г",169.00,119.99,−29%,с 13 апреля до 19 апреля
"Пирожное МЕДВЕЖОНОК БАРНИ Фан Сэнд кусочки темного шоколада, 180г",162.30,124.99,−23%,с 13 апреля до 19 апреля
"Колбаса МОЛОЧНАЯ, вязанка, мини (Стародворские колбасы), 500г",260.40,124.99,−52%,с 13 апреля до 19 апреля
"Конфеты ТОФФИФИ, Шоколадные, 125г",227.30,124.99,−45%,с 13 апреля до 19 апреля
"Пирожное МЕДВЕЖОНОК БАРНИ Фан Сэнд кусочки темного шоколада, 180г",178.60,124.99,−30%,с 13 апреля до 19 апреля
"Пирожное МЕДВЕЖОНОК БАРНИ Фан Сэнд какао-шоколад, 180г",178.60,124.99,−30%,с 13 апреля до 19 апреля
"Пирожное МЕДВЕЖОНОК БАРНИ Фан Сэнд какао-шоколад, 180г",162.30,124.99,−23%,с 13 апреля до 19 апреля
"Конфеты ТОФФИФИ, Шоколадные, 125г",181.10,124.99,−31%,с 13 апреля до 19 апреля
"Блок туалетный BREF®, Синяя вода, 50г",224.10,129.99,−42%,с 13 апреля до 19 апреля
"Таблетки для унитаза BREF®, Актив Гигиена, 2",194.00,129.99,−33%,с 13 апреля до 19 апреля
"Колбаса ЧЕСНОЧНАЯ, полукопченая (ОМПК), 420г",288.90,129.99,−55%,с 13 апреля до 19 апреля
"Мука пшеничная ФРАНЦУЗСКАЯ ШТУЧКА, Экстра, 2кг",156.60,129.99,−17%,с 13 апреля до 19 апреля
"Колбаса ЧЕСНОЧНАЯ, полукопченая (ОМПК), 420г",288.90,129.99,−55%,с 13 апреля до 19 апреля
"Томаты ДЯДЯ ВАНЯ, маринованные, 680г",152.90,129.99,−15%,с 13 апреля до 19 апреля
"Сыр БРЕСТ-ЛИТОВСК Финский 45%, 200г",207.70,134.99,−35%,с 13 апреля до 19 апреля
"Сыр БРЕСТ-ЛИТОВСК Финский 45%, 200г",207.70,134.99,−35%,с 13 апреля до 19 апреля
"Риет МЕРИДИАН, из тунца, 100г",174.20,139.99,−20%,с 13 апреля до 19 апреля
"Перец маринованный ДЯДЯ ВАНЯ, Чили, целый, 340г",170.70,139.99,−18%,с 13 апреля до 19 апреля
"Наполнитель для туалета домашних животных TAFI® комкающийся, 5кг",179.99,139.99,"−22,00%",с 07 апреля до 04 мая
"Ошейник репеллентный для Миссис Кисс, 38см",189.99,139.99,"−26,00%",с 07 апреля до 04 мая
"Зефир СЕМЕЙНЫЕ СЕКРЕТЫ Антоновка, 250г",185.80,144.90,−22%,с 13 апреля до 19 апреля
"Зефир СЕМЕЙНЫЕ СЕКРЕТЫ Антоновка, 250г",185.80,144.90,−22%,с 13 апреля до 19 апреля
"Набор конфет РОДНЫЕ ПРОСТОРЫ, с фундуком, 200г",306.10,149.99,−51%,с 13 апреля до 19 апреля
"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 200г",306.10,149.99,−51%,с 13 апреля до 19 апреля
"Паста томатная ПОМИДОРКА, 380г",189.90,149.99,−21%,с 13 апреля до 19 апреля
"Конфеты РОДНЫЕ ПРОСТОРЫ, с вафельной крошкой, 200г",333.30,149.99,−55%,с 13 апреля до 19 апреля
"Аккумулятор холода, 800мл",199.99,149.99,"−25,00%",с 07 апреля до 04 мая
"Гель для чистки унитаза BREF®, Тотал Блеск, лимон, 700мл",217.40,149.99,−31%,с 13 апреля до 19 апреля
"Гель для чистки унитаза BREF®, Тотал, Блеск цветов, 700мл",217.40,149.99,−31%,с 13 апреля до 19 апреля
"Набор конфет РОДНЫЕ ПРОСТОРЫ, с фундуком, 200г",272.70,149.99,−45%,с 13 апреля до 19 апреля
"ГОВЯДИНА ТУШЕНАЯ, высший сорт (Курганский МК), 338г",190.50,159.99,−16%,с 13 апреля до 19 апреля
"Пастила БЕЛЕВСКАЯ ПАСТИЛА, Яблоко, 200г",271.20,159.99,−41%,с 13 апреля до 19 апреля
"Колбаса БОРОДИНСКАЯ, сырокопченая, мини (Черкизовский МПЗ), 300г",313.70,159.99,−49%,с 13 апреля до 19 апреля
"Пастила БЕЛЕВСКАЯ ПАСТИЛА, Яблоко, 200г",271.20,159.99,−41%,с 13 апреля до 19 апреля
"Кофе НЕСКАФЕ, Классик Крема, растворимый, 95г",216.20,159.99,−26%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ, Яблоко-вишня-черешня, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Торт вафельный ШОКОЛАДНИЦА, с фундуком, 270г",226.00,164.99,−27%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ, Виноградный дуэт, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ, Виноградный дуэт, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Нектар ЛЮБИМЫЙ, Яблоко/персик/нектарин, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Торт вафельный ШОКОЛАДНИЦА, с фундуком, 270г",226.00,164.99,−27%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ Тропический микс, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Напиток ЛЮБИМЫЙ Тропический микс, 1,93л",203.70,164.99,−19%,с 13 апреля до 19 апреля
"Оленина СТАНДАРТ тушеная особая (Курганский), 338г",228.60,169.99,−26%,с 13 апреля до 19 апреля
